YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2015,1110 CROP PRODUCTION,"$638,977,221","$17,992,618","$1,241,655","$219,029","$1,460,684", 211 
2015,1111 OILSEED & GRAIN FARMING,"$263,655,897","$3,131,453","$216,945","$85,446","$302,391", 98 
2015,1112 VEGETABLE & MELON FARMING,"$9,797,104","$1,661,865","$114,252","$8,604","$122,856", 61 
2015,1113 FRUIT & TREE NUT FARMING,"$9,397,989","$2,578,933","$189,658",$855,"$190,513", 53 
2015,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$130,569,260","$44,212,155","$3,045,077","$92,088","$3,137,165", 216 
2015,1119 OTHER CROP FARMING,"$144,737,873","$6,640,891","$459,373","$45,433","$504,806", 81 
2015,1120 ANIMAL PRODUCTION,"$412,077,017","$2,481,110","$171,688","$140,111","$311,799", 85 
2015,1121 CATTLE RANCHING & FARMING,"$104,282,604","$467,520","$32,143","$227,712","$259,855", 56 
2015,1122 HOG & PIG FARMING,"$123,547,996","$1,378,406","$94,764",$545,"$95,309", 22 
2015,1123 POULTRY & EGG PRODUCTION,"$33,133,112","$778,466","$55,963","$20,514","$76,477", 9 
2015,1124 SHEEP & GOAT FARMING,"$40,227","$14,807","$1,018",$16,"$1,034", 17 
2015,1125 ANIMAL AQUACULTURE,"$1,055,612","$116,177","$7,986","$1,419","$9,405", 9 
2015,1129 OTHER ANIMAL PRODUCTION,"$45,624,766","$2,755,858","$189,475","$4,973","$194,448", 153 
2015,1130 FORESTRY & LOGGING,"$7,018,298","$1,926,613","$132,459","$9,586","$142,045", 45 
2015,1131 TIMBER TRACT OPERATIONS,"$96,430","$37,762","$2,596",$10,"$2,606", 5 
2015,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$3,816,243","$974,377","$66,988","$8,214","$75,202", 18 
2015,1133 LOGGING,"$28,800,923","$1,695,946","$116,602","$1,154","$117,756", 56 
2015,"1140 FISHING, HUNTING & TRAPPING","$4,123,543","$2,541,862","$174,756",$260,"$175,016", 20 
2015,1141 FISHING,"$29,668,522","$1,026,261","$71,136","$33,402","$104,538", 16 
2015,1142 HUNTING & TRAPPING,"$4,306,675","$2,436,834","$170,127","$3,792","$173,919", 40 
2015,1150 SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,"$608,167,627","$4,723,681","$324,759","$133,688","$458,447", 68 
2015,1151 SUPPORT ACTIVITIES FOR CROP PRODUCTION,"$894,883,836","$13,478,774","$958,698","$152,432","$1,111,130", 138 
2015,1152 SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,"$342,177,830","$4,679,364","$321,706","$61,216","$382,922", 96 
2015,1153 SUPPORT ACTIVITIES FOR FORESTRY,"$6,401,876","$5,412,706","$372,128","$16,804","$388,932", 25 
2015,2122 METAL ORE MINING,"$129,024,078","$516,778","$35,527","$18,562,674","$18,598,201", 9 
2015,2123 NONMETALLIC MINERAL MINING & QUARRYING,"$385,960,494","$120,250,964","$8,267,256","$678,364","$8,945,620", 184 
2015,2131 SUPPORT ACTIVITIES FOR MINING,"$23,645,456","$921,249","$63,335","$60,535","$123,870", 22 
2015,2210 UTILITIES,"$311,716,972","$134,691,100","$9,342,575","$188,484","$9,531,059", 81 
2015,"2211 ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION","$10,923,407,267","$3,986,842,089","$274,095,404","$11,456,295","$285,551,699", 133 
2015,2212 NATURAL GAS DISTRIBUTION,"$1,570,575,857","$440,320,147","$30,272,012","$1,932,733","$32,204,745", 54 
2015,"2213 WATER, SEWAGE & OTHER SYSTEMS","$355,594,253","$167,848,835","$11,543,395","$329,616","$11,873,011", 183 
2015,2360 CONSTRUCTION OF BUILDINGS,"$2,655,273,428","$19,745,068","$1,357,491","$2,113,970","$3,471,461", 782 
2015,2361 RESIDENTIAL BUILDING CONSTRUCTION,"$1,226,000,346","$33,312,128","$2,299,832","$1,614,212","$3,914,044", 893 
2015,2362 NONRESIDENTIAL BUILDING CONSTRUCTION,"$953,828,544","$42,101,163","$2,897,104","$3,730,136","$6,627,240", 303 
2015,2370 HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$968,819,063","$41,268,277","$2,837,202","$3,510,044","$6,347,246", 197 
2015,2371 UTILITY SYSTEM CONSTRUCTION,"$188,009,941","$42,084,719","$2,893,328","$891,092","$3,784,420", 133 
2015,2372 LAND SUBDIVISION,"$22,280,547","$4,269,521","$306,031","$2,598","$308,629", 16 
2015,"2373 HIGHWAY, STREET, & BRIDGE CONSTRUCTION","$362,911,950","$37,200,099","$2,557,511","$2,898,222","$5,455,733", 79 
2015,2379 OTHER HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$474,772,795","$19,065,802","$1,310,773","$3,035,246","$4,346,019", 77 
2015,2380 SPECIALTY TRADE CONTRACTORS,"$3,612,319,728","$138,279,366","$9,506,745","$10,656,909","$20,163,654"," 2,076 "
2015,"2381 FOUNDATION, STRUCTURE, & BUILDING EXTERIOR CONTRACTORS","$612,180,358","$38,546,449","$2,650,062","$1,693,249","$4,343,311", 424 
2015,2382 BUILDING EQUIPMENT CONTRACTORS,"$2,148,718,752","$143,413,230","$9,859,690","$4,296,510","$14,156,200"," 1,330 "
2015,2383 BUILDING FINISHING CONTRACTORS,"$711,771,785","$53,135,100","$3,653,047","$3,403,112","$7,056,159", 698 
2015,2389 OTHER SPECIALTY TRADE CONTRACTORS,"$1,704,843,714","$214,301,782","$14,735,356","$7,348,982","$22,084,338"," 1,009 "
2015,3110 FOOD MANUFACTURING,"$2,061,713,936","$8,261,225","$567,964","$2,505,912","$3,073,876", 88 
2015,3111 ANIMAL FOOD MANUFACTURING,"$736,361,237","$4,091,384","$281,289","$73,253","$354,542", 60 
2015,3112 GRAIN & OILSEED MILLING,"$1,448,004,167","$1,387,160","$95,369","$944,909","$1,040,278", 23 
2015,3113 SUGAR & CONFECTIONERY PRODUCT MANUFACTURING,"$347,444,919","$14,316,212","$984,612","$746,557","$1,731,169", 104 
2015,3114 FRUIT & VEGETABLE PRESERVING & SPECIALTY FOOD MANUFACTURING,"$1,193,661,277","$2,300,092","$159,637","$747,095","$906,732", 59 
2015,3115 DAIRY PRODUCT MANUFACTURING,"$1,981,369,913","$3,090,775","$212,490","$961,031","$1,173,521", 41 
2015,3116 ANIMAL SLAUGHTERING & PROCESSING,"$812,935,106","$450,246","$30,952","$482,107","$513,059", 37 
2015,3118 BAKERIES & TORTILLA MANUFACTURING,"$448,011,345","$36,212,446","$2,501,825","$264,284","$2,766,109", 197 
2015,3119 OTHER FOOD MANUFACTURING,"$805,112,827","$15,232,175","$1,056,695","$1,200,353","$2,257,048", 151 
2015,3121 BEVERAGE MANUFACTURING,"$453,351,497","$50,260,055","$4,269,339","$625,780","$4,895,119", 227 
2015,3122 TOBACCO MANUFACTURING,"$50,317,202","$3,928,927","$270,114","$42,428","$312,542", 11 
2015,3130 TEXTILE MILLS,"$45,775,156","$2,132,044","$146,575",$895,"$147,470", 29 
2015,"3131 FIBER, YARN, & THREAD MILLS","$383,681","$76,533","$5,263",$19,"$5,282", 12 
2015,3132 FABRIC MILLS,"$29,540,475","$3,360,730","$231,053","$14,981","$246,034", 34 
2015,"3133 TEXTILE, FABRIC FINISHING & FABRIC COATING MILLS","$31,951,427","$2,778,802","$191,044","$2,248","$193,292", 22 
2015,3140 TEXTILE PRODUCT MILLS,"$29,076,204","$1,339,256","$92,077",$732,"$92,809", 10 
2015,3141 TEXTILE FURNISHINGS MILLS,"$46,936,483","$17,574,639","$1,208,264","$7,571","$1,215,835", 73 
2015,3149 OTHER TEXTILE PRODUCT MILLS,"$111,660,782","$6,816,253","$468,621","$43,647","$512,268", 285 
2015,3150 APPAREL MANUFACTURING,"$36,095,230","$1,112,620","$76,493","$2,073","$78,566", 57 
2015,3151 APPAREL KNITTING MILLS,"$1,947,233","$48,752","$3,351","$3,387","$6,738", 14 
2015,3152 CUT & SEW APPAREL MANUFACTURING,"$125,652,326","$7,335,984","$504,344","$26,919","$531,263", 141 
2015,3159 APPAREL ACCESSORIES & OTHER APPAREL MANUFACTURING,"$135,333,089","$3,509,465","$241,281","$11,046","$252,327", 75 
2015,3160 LEATHER & ALLIED PRODUCT MANUFACTURING,"$367,783","$157,020","$10,795","$83,774","$94,569", 12 
2015,3161 LEATHER & HIDE TANNING & FINISHING,"$545,404","$71,413","$4,911","$23,956","$28,867", 14 
2015,3162 FOOTWEAR MANUFACTURING,"$31,486,068","$523,353","$35,983","$5,572","$41,555", 11 
2015,3169 OTHER LEATHER & ALLIED PRODUCT MANUFACTURING,"$6,802,733","$2,290,103","$157,447","$6,975","$164,422", 93 
2015,3210 WOOD PRODUCT MANUFACTURING,"$1,068,744,526","$71,822,748","$4,937,817","$895,483","$5,833,300", 221 
2015,3211 SAWMILLS & WOOD PRESERVATION,"$71,607,980","$15,336,965","$1,054,426","$107,646","$1,162,072", 60 
2015,"3212 VENEER, PLYWOOD, & ENGINEERED WOOD PRODUCT MANUFACTURING","$182,224,387","$36,770,883","$2,527,995","$227,629","$2,755,624", 47 
2015,3219 OTHER WOOD PRODUCT MANUFACTURING,"$945,877,019","$121,368,649","$8,336,347","$505,877","$8,842,224", 428 
2015,3220 PAPER MANUFACTURING,"$662,341,208","$1,886,031","$129,666","$2,478,937","$2,608,603", 34 
2015,"3221 PULP, PAPER, & PAPERBOARD MILLS","$690,041,165","$8,742,847","$601,073","$2,201,271","$2,802,344", 11 
2015,3222 CONVERTED PAPER PRODUCT MANUFACTURING,"$1,404,016,038","$43,229,480","$2,972,030","$17,887,637","$20,859,667", 108 
2015,3231 PRINTING & RELATED SUPPORT ACTIVITIES,"$2,422,267,014","$374,582,035","$25,752,491","$1,838,689","$27,591,180"," 1,188 "
2015,3240 PETROLEUM & COAL PRODUCTS MANUFACTURING,"$33,489,792","$13,431,871","$923,440","$178,035","$1,101,475", 8 
2015,3241 PETROLEUM & COAL PRODUCTS MANUFACTURING,"$3,193,877,448","$302,898,393","$20,824,268","$2,014,845","$22,839,113", 42 
2015,3250 CHEMICAL MANUFACTURING,"$1,433,207,640","$20,398,681","$1,402,412","$427,663","$1,830,075", 94 
2015,3251 BASIC CHEMICAL MANUFACTURING,"$1,135,734,998","$38,242,327","$2,629,159","$315,395","$2,944,554", 75 
2015,"3252 RESIN, SYNTHETIC RUBBER, & ARTIFICIAL SYNTHETIC FIBERS & FILAMENTS MANUFACTURING","$95,475,872","$4,783,895","$328,893","$176,507","$505,400", 22 
2015,"3253 PESTICIDE, FERTILIZER, & OTHER AGRICULTURAL CHEMICAL MANUFACTURING","$245,691,116","$3,688,415","$253,579","$21,242","$274,821", 30 
2015,3254 PHARMACEUTICAL & MEDICINE MANUFACTURING,"$1,460,885,558","$9,931,621","$682,804","$718,235","$1,401,039", 74 
2015,"3255 PAINT, COATING, & ADHESIVE MANUFACTURING","$115,293,714","$6,697,093","$460,431","$54,897","$515,328", 46 
