NAICS,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER
1110,"$609,794,966","$23,719,196","$1,546,786","$176,641","$1,723,427",429
1111,"$9,691,096","$275,618","$17,916",$568,"$18,484",28
1112,"$7,469,726","$1,511,423","$98,243",$372,"$98,615",12
1113,"$23,878,706","$402,183","$26,142",$0,"$26,142",8
1114,"$108,933,295","$49,679,126","$3,229,141","$120,044","$3,349,185",90
1119,"$26,913,371","$3,414,592","$225,136","$2,965","$228,101",21
1120,"$188,009,038","$1,104,826","$72,516","$60,045","$132,561",170
1121,"$9,736,509","$56,346","$3,663",$22,"$3,685",19
1122,"$24,447,603","$234,441","$15,238","$1,123","$16,361",16
1123,"$37,034,393","$1,153,767","$76,432","$133,933","$210,365",8
1129,"$3,963,751","$154,160","$10,019",$356,"$10,375",15
1130,"$10,623,390","$3,012,949","$195,845","$3,482","$199,327",102
1132,"$730,112","$249,028","$16,187",$0,"$16,187",4
1133,"$30,325,130","$455,668","$29,620","$4,417","$34,037",22
1140,"$5,306,334","$3,655,096","$238,274","$3,562","$241,836",39
1142,"$1,999,956","$1,773,330","$115,568",$0,"$115,568",9
1150,"$441,575,648","$5,467,352","$355,382","$20,691","$376,073",117
1151,"$145,601,615","$3,800,401","$247,022","$8,090","$255,112",59
1152,"$92,102,378","$1,780,266","$115,715","$18,913","$134,628",61
1153,"$3,960,551","$1,611,546","$104,753",$45,"$104,798",13
2111,"$34,720,330","$956,424","$62,167","$113,325","$175,492",14
2122,"$61,631,925","$2,155,076","$140,080","$12,594,120","$12,734,200",8
2123,"$285,568,260","$120,347,672","$7,822,581","$263,788","$8,086,369",145
2131,"$4,056,469","$793,391","$51,571",$478,"$52,049",7
2210,"$386,501,146","$145,246,090","$9,494,841","$717,296","$10,212,137",103
2211,"$5,505,388,767","$2,450,008,130","$159,250,529","$4,636,411","$163,886,940",92
2212,"$3,399,434,101","$457,613,091","$29,744,860","$2,341,956","$32,086,816",150
2213,"$103,607,024","$18,119,203","$1,177,772","$72,124","$1,249,896",67
2360,"$2,677,098,118","$55,122,876","$3,574,874","$2,553,232","$6,128,106","1,359"
2361,"$35,059,718","$1,631,848","$104,076","$184,966","$289,042",110
2362,"$234,771,056","$1,556,923","$101,200","$86,646","$187,846",21
2370,"$646,599,782","$85,781,270","$5,575,792","$3,344,309","$8,920,101",280
2371,"$13,706,667","$2,876,458","$186,971","$340,522","$527,493",12
2373,"$4,984,915","$2,645,255","$171,938","$28,053","$199,991",9
2379,"$12,870,375","$2,188,269","$142,239","$40,631","$182,870",18
2380,"$3,603,610,602","$283,576,191","$18,433,095","$10,782,841","$29,215,936","3,592"
2381,"$45,229,847","$2,794,191","$181,623","$31,182","$212,805",58
2382,"$237,534,798","$10,193,303","$662,566","$521,487","$1,184,053",174
2383,"$30,776,016","$1,021,189","$66,377","$76,384","$142,761",83
2389,"$191,643,712","$26,521,437","$1,722,566","$1,074,891","$2,797,457",199
3110,"$2,793,165,885","$31,631,837","$2,056,071","$3,630,511","$5,686,582",167
3111,"$193,157,434","$1,735,111","$112,781","$75,731","$188,512",21
3112,"$54,072,971","$2,302,103","$149,636","$1,408,315","$1,557,951",13
3113,"$123,993,009","$17,738,779","$1,153,460","$326,916","$1,480,376",191
3114,"$555,958,246","$1,068,221","$69,436","$380,173","$449,609",17
3115,"$585,545,410","$844,023","$54,858","$549,798","$604,656",12
3116,"$58,890,785","$715,140","$46,485","$187,310","$233,795",17
3118,"$116,671,504","$4,174,939","$273,916","$81,410","$355,326",73
3119,"$355,996,661","$1,372,957","$89,243","$275,909","$365,152",28
3121,"$140,429,952","$7,162,178","$473,966","$226,101","$700,067",18
3130,"$66,824,320","$10,622,259","$690,443","$5,633","$696,076",62
3132,"$11,915,619","$2,175",$141,"$48,548","$48,689",4
3133,"$10,819,735","$391,502","$25,448",$533,"$25,981",10
3140,"$20,151,402","$1,162,550","$75,564",$211,"$75,775",6
3141,"$7,969,732","$3,232,749","$210,131","$1,314","$211,445",20
3149,"$157,088,556","$3,737,133","$242,915","$102,608","$345,523",50
3150,"$48,062,818","$4,164,127","$270,673","$1,647","$272,320",111
3152,"$46,109,085","$2,297,570","$149,342","$12,862","$162,204",37
3159,"$37,473,623","$310,242","$20,163","$12,662","$32,825",19
3160,"$11,072,171","$4,071,680","$264,658","$114,052","$378,710",19
3161,"$24,670,310","$19,451","$1,264","$42,021","$43,285",4
3162,"$16,008,326","$140,390","$9,125","$2,776","$11,901",4
3169,"$1,950,103","$177,874","$11,561",$453,"$12,014",11
3210,"$2,332,561,743","$198,668,137","$12,913,544","$2,115,178","$15,028,722",515
3211,"$9,443,209","$1,371,766","$89,169","$7,973","$97,142",12
3212,"$123,624,554","$25,217,188","$1,639,114","$28,120","$1,667,234",32
3219,"$388,295,384","$77,796,879","$5,017,701","$249,950","$5,267,651",132
3220,"$1,775,949,781","$74,879,133","$4,867,154","$13,208,724","$18,075,878",84
3221,"$110,121,799","$712,471","$46,311","$59,231","$105,542",7
3222,"$628,449,731","$12,035,802","$782,324","$614,126","$1,396,450",52
3231,"$3,318,121,399","$480,360,545","$31,223,515","$3,512,202","$34,735,717","1,247"
3240,"$82,719,540","$55,680,944","$3,619,257","$3,195,553","$6,814,810",18
3241,"$157,264,782","$81,952,317","$5,326,901","$76,277","$5,403,178",9
3250,"$2,052,723,689","$36,654,991","$2,382,582","$505,108","$2,887,690",177
3251,"$152,348,358","$6,220,604","$404,339","$95,639","$499,978",31
3252,"$7,585,043","$463,506","$30,127","$2,061","$32,188",4
3253,"$205,626,255","$1,168,029","$75,921","$5,834","$81,755",9
3254,"$1,144,820,632","$1,780,736","$115,751","$1,333,069","$1,448,820",33
3255,"$35,464,679","$3,327,699","$216,303","$16,562","$232,865",18
3256,"$311,123,241","$24,093,223","$1,566,065","$378,751","$1,944,816",34
3259,"$345,293,626","$7,793,586","$506,586","$128,058","$634,644",40
3260,"$724,912,581","$40,188,498","$2,612,263","$748,059","$3,360,322",204
3261,"$930,217,983","$25,736,851","$1,672,895","$1,059,631","$2,732,526",162
3262,"$193,847,660","$5,699,511","$370,466","$148,097","$518,563",29
3270,"$533,729,267","$119,642,974","$7,776,796","$1,751,570","$9,528,366",221
3271,"$14,023,502","$2,752,618","$178,918",$887,"$179,805",15
3272,"$92,191,995","$5,198,334","$337,892","$258,572","$596,464",24
3273,"$617,625,270","$382,241,666","$24,845,700","$345,669","$25,191,369",102
3279,"$50,524,553","$9,582,889","$622,890","$326,015","$948,905",26
3310,"$639,335,705","$30,640,199","$1,991,611","$1,521,100","$3,512,711",64
3311,"$21,959,961","$356,839","$23,195","$2,501","$25,696",8
3312,"$102,857,677","$5,228,729","$339,872","$41,187","$381,059",31
3313,"$48,919,697","$129,947","$8,446","$75,912","$84,358",6
3314,"$45,417,917","$28,838","$1,875","$6,307","$8,182",4
3315,"$408,981,669","$1,039,599","$67,573","$345,669","$413,242",27
3320,"$1,380,793,570","$140,988,965","$9,164,318","$1,613,387","$10,777,705",758
3321,"$236,877,708","$764,133","$49,668","$142,254","$191,922",50
3322,"$118,139,613","$975,573","$63,412","$66,991","$130,403",16
3323,"$544,311,335","$96,341,290","$6,262,209","$1,226,688","$7,488,897",154
3324,"$71,521,349","$4,895,076","$318,182","$48,443","$366,625",18
3325,"$16,194,221","$24,011","$1,561","$10,268","$11,829",5
3326,"$90,137,866","$3,208,638","$208,561","$175,507","$384,068",16
3327,"$565,306,323","$17,944,679","$1,166,401","$285,517","$1,451,918",257
3328,"$131,458,330","$988,627","$64,262","$123,521","$187,783",64
3329,"$1,149,708,035","$64,945,773","$4,221,485","$822,035","$5,043,520",222
3330,"$2,062,612,149","$238,883,089","$15,527,416","$5,708,061","$21,235,477",639
3331,"$1,619,981,665","$13,144,014","$854,368","$292,611","$1,146,979",68
3332,"$330,353,017","$35,980,314","$2,338,732","$508,998","$2,847,730",115
3333,"$370,318,252","$37,736,942","$2,452,913","$488,416","$2,941,329",64
3334,"$289,299,652","$10,889,403","$707,818","$76,934","$784,752",30
3335,"$188,320,793","$8,740,137","$568,110","$381,799","$949,909",91
3336,"$35,650,647","$2,450,224","$159,264","$10,269","$169,533",12
3339,"$583,849,861","$34,733,011","$2,257,647","$262,535","$2,520,182",162
3340,"$691,068,829","$30,319,483","$1,970,757","$2,984,137","$4,954,894",141
3341,"$425,962,617","$17,023,983","$1,106,560","$1,924,840","$3,031,400",61
3342,"$96,875,749","$11,350,687","$737,801","$70,040","$807,841",31
3343,"$85,246,482","$4,675,232","$303,894","$71,236","$375,130",21
3344,"$673,702,992","$10,082,269","$655,349","$1,206,122","$1,861,471",69
3345,"$957,595,231","$10,990,371","$714,377","$997,918","$1,712,295",88
3346,"$79,145,032","$10,159,124","$660,345","$755,266","$1,415,611",15
3350,"$2,661,457,933","$139,612,271","$9,075,024","$7,035,072","$16,110,096",430
3351,"$15,908,827","$818,262","$53,184","$5,227","$58,411",8
3352,"$14,791,159","$946,484","$61,520","$17,281","$78,801",5
3353,"$161,535,579","$13,500,513","$877,532","$362,240","$1,239,772",49
3359,"$211,889,615","$19,346,301","$1,257,514","$163,410","$1,420,924",72
3360,"$1,849,125,931","$15,828,756","$1,028,868","$401,517","$1,430,385",90
3361,"$69,742,614","$28,772,565","$1,870,219","$359,959","$2,230,178",8
3362,"$69,974,952","$13,879,635","$902,177","$12,790","$914,967",26
3363,"$187,956,417","$1,883,533","$122,435","$273,388","$395,823",36
3364,"$191,788,695","$3,514,480","$228,440","$95,526","$323,966",6
3366,"$349,506,872","$1,815,444","$118,007","$94,078","$212,085",11
3369,"$50,907,463","$5,662,505","$368,066","$6,447","$374,513",19
3370,"$400,226,632","$62,563,793","$4,066,653","$213,461","$4,280,114",336
3371,"$299,165,795","$42,578,424","$2,767,597","$859,378","$3,626,975",131
3372,"$186,517,232","$16,354,711","$1,063,056","$121,322","$1,184,378",47
3379,"$44,389,807","$2,096,942","$136,303","$12,475","$148,778",6
3390,"$3,582,503,707","$294,887,411","$19,143,764","$3,127,682","$22,271,446","1,393"
3391,"$583,426,682","$16,211,583","$1,109,935","$993,157","$2,103,092",166
3399,"$723,051,894","$87,257,124","$5,671,699","$915,645","$6,587,344",372
4231,"$2,378,837,630","$140,872,750","$9,157,219","$1,065,971","$10,223,190",417
4232,"$277,016,670","$73,029,386","$4,746,902","$290,208","$5,037,110",169
4233,"$1,830,848,543","$444,547,783","$28,895,617","$1,181,321","$30,076,938",322
4234,"$2,856,744,777","$674,025,042","$43,811,627","$5,060,670","$48,872,297",569
4235,"$722,931,314","$78,107,716","$5,076,995","$261,945","$5,338,940",80
4236,"$2,944,511,573","$738,135,733","$47,978,836","$343,840","$48,322,676",292
4237,"$1,417,306,590","$616,217,507","$40,054,135","$748,072","$40,802,207",388
4238,"$3,897,946,473","$896,236,794","$58,255,469","$1,017,357","$59,272,826","1,270"
4239,"$3,066,609,352","$332,439,883","$21,608,602","$1,330,375","$22,938,977",864
4241,"$994,570,323","$120,770,468","$7,853,326","$126,936","$7,980,262",176
4242,"$3,000,566,248","$38,496,791","$2,502,292","$321,389","$2,823,681",79
4244,"$5,979,734,134","$187,351,122","$12,178,343","$2,346,463","$14,524,806",393
4245,"$1,919,406,540","$23,287,716","$1,513,703","$519,918","$2,033,621",138
4246,"$596,059,835","$48,410,856","$3,146,724","$110,409","$3,257,133",157
4247,"$3,413,314,423","$126,872,755","$8,248,309","$1,649,899","$9,898,208",241
4248,"$967,312,691","$7,251,192","$611,613","$219,887","$831,500",61
4249,"$3,080,850,088","$202,638,746","$13,171,516","$439,635","$13,611,151",663
4251,"$30,182,271","$3,185,274","$207,045","$14,143","$221,188",17
4411,"$9,684,555,519","$445,772,577","$29,193,144","$528,857","$29,722,001",870
4412,"$1,949,151,528","$683,914,832","$44,375,846","$185,157","$44,561,003",733
4413,"$1,213,388,575","$538,005,078","$34,970,363","$353,614","$35,323,977","1,227"
4421,"$1,179,898,091","$974,024,540","$63,311,644","$913,370","$64,225,014",865
4422,"$1,194,297,673","$556,679,394","$36,176,127","$7,600,755","$43,776,882","1,865"
4431,"$3,176,572,552","$1,884,873,875","$122,525,858","$5,285,709","$127,811,567","2,250"
4441,"$5,800,210,459","$4,810,126,263","$312,665,547","$7,140,304","$319,805,851","2,047"
4442,"$1,192,011,691","$250,848,884","$16,305,187","$316,635","$16,621,822",624
4451,"$7,826,281,618","$1,708,278,263","$112,518,361","$896,477","$113,414,838","1,831"
4452,"$594,471,757","$156,522,316","$10,228,419","$176,831","$10,405,250","1,095"
4453,"$914,392,031","$869,324,033","$76,734,620","$82,128","$76,816,748",938
4461,"$2,580,829,950","$501,255,711","$32,661,572","$404,754","$33,066,326","1,031"
4471,"$6,119,775,991","$1,085,736,314","$70,697,684","$607,177","$71,304,861","2,137"
4480,"$822,512,270","$176,162,653","$11,449,699","$500,863","$11,950,562",903
4481,"$657,498,931","$122,913,484","$7,989,409","$428,173","$8,417,582",907
4482,"$233,329,533","$8,814,342","$572,948","$66,595","$639,543",349
4483,"$400,017,171","$341,614,798","$22,204,949","$229,460","$22,434,409","1,473"
4511,"$1,581,317,644","$889,505,020","$57,844,181","$474,296","$58,318,477","3,080"
4512,"$741,750,629","$401,675,556","$26,285,548","$230,216","$26,515,764","1,530"
4520,"$7,991,004,992","$4,567,114,033","$298,131,392","$4,643,235","$302,774,627",651
4521,"$1,034,332,455","$438,738,948","$28,518,339","$540,220","$29,058,559",69
4529,"$578,832,050","$326,281,526","$21,208,510","$105,107","$21,313,617",292
4531,"$190,585,198","$137,407,496","$8,932,689","$20,574","$8,953,263",855
4532,"$1,204,018,962","$828,257,017","$53,841,149","$732,971","$54,574,120","2,903"
4533,"$227,239,385","$133,985,307","$8,722,770","$146,297","$8,869,067","2,846"
4539,"$2,021,771,928","$960,204,047","$60,679,017","$1,667,567","$62,346,584","13,801"
4540,"$10,812,650","$6,039,813","$393,710","$18,716","$412,426",960
4541,"$1,214,647,936","$360,657,068","$23,466,064","$225,870","$23,691,934",516
4542,"$156,783,936","$133,033,503","$8,653,656","$137,142","$8,790,798",645
4543,"$1,738,311,906","$516,329,590","$33,567,911","$299,949","$33,867,860","1,910"
4810,"$125,594,425","$73,676,517","$4,825,644","$4,796,235","$9,621,879",129
4821,"$102,084,137","$495,886","$32,645","$3,165,746","$3,198,391",17
4830,"$12,169,872","$6,983,715","$481,713","$49,397","$531,110",28
4840,"$283,628,176","$17,303,226","$1,124,718","$735,476","$1,860,194",564
4841,"$593,103,638","$39,877,300","$2,592,400","$745,716","$3,338,116",595
4842,"$496,325,042","$14,608,323","$949,534","$439,983","$1,389,517",531
4850,"$86,761,312","$4,124,705","$276,527","$16,449","$292,976",55
4852,"$1,492,198","$834,611","$54,250","$14,200","$68,450",5
4853,"$1,447,971","$615,158","$39,988",$6,"$39,994",14
4854,"$63,311,944","$998,087","$64,874","$29,526","$94,400",23
4855,"$10,871,090","$14,666",$953,"$48,019","$48,972",10
4859,"$5,743,387","$3,050,027","$235,422","$4,469","$239,891",17
4860,"$135,426","$35,084","$2,280","$149,791","$152,071",9
4881,"$22,104,398","$3,277,608","$224,519","$18,622","$243,141",29
4882,"$6,139,166","$289,306","$18,809","$108,208","$127,017",4
4883,"$14,571,369","$584,765","$38,009","$6,932","$44,941",5
4884,"$179,853,069","$105,168,704","$6,836,206","$20,640","$6,856,846",640
4885,"$19,797,702","$2,221",$144,"$10,057","$10,201",23
4889,"$17,364,259","$274,983","$17,874","$6,445","$24,319",8
4921,"$1,462,965","$309,242","$20,100","$4,340","$24,440",9
4922,"$16,111,490","$2,133,492","$138,677","$15,023","$153,700",26
4931,"$27,011,876","$3,789,170","$246,297","$19,489","$265,786",75
5111,"$847,568,741","$25,825,380","$1,678,652","$822,318","$2,500,970",266
5112,"$209,153,921","$41,573,927","$2,702,307","$180,277","$2,882,584",72
5121,"$178,839,998","$77,635,297","$5,048,684","$51,137","$5,099,821",267
5122,"$19,852,345","$1,900,636","$123,541","$2,271","$125,812",18
5151,"$83,123,148","$8,668,804","$564,398","$312,268","$876,666",80
5152,"$633,557,466","$511,700,960","$33,260,572","$362,924","$33,623,496",69
5170,"$3,361,609,299","$2,896,974,262","$188,303,280","$2,259,009","$190,562,289",705
5181,"$932,671","$560,634","$36,443",$32,"$36,475",6
5182,"$1,891,215,233","$307,997,605","$20,019,849","$1,835,093","$21,854,942","1,043"
5190,"$1,051,822,554","$579,470,005","$37,665,738","$542,249","$38,207,987",221
5191,"$2,098,637,756","$566,439,724","$36,825,134","$6,814,449","$43,639,583","1,838"
5221,"$393,656,932","$109,076,952","$7,090,016","$1,732,946","$8,822,962",477
5222,"$704,779,476","$266,473,246","$17,320,813","$336,639","$17,657,452",253
5223,"$52,020,894","$1,909,302","$124,107","$11,590","$135,697",46
5231,"$64,590,989","$1,550,772","$100,799","$3,519,749","$3,620,548",71
5239,"$113,107,633","$3,762,250","$244,547","$16,487","$261,034",52
5241,"$1,540,388,081","$7,006,294","$455,408","$2,418,724","$2,874,132",118
5242,"$349,740,628","$8,627,103","$560,766","$1,110,302","$1,671,068",423
5259,"$98,180,973","$88,137,737","$5,728,957",$319,"$5,729,276",25
5310,"$378,436,122","$76,330,626","$4,996,759","$337,519","$5,334,278",791
5311,"$80,754,647","$14,244,918","$958,000","$37,226","$995,226",171
