YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2013,1110 CROP PRODUCTION,"$971,516,918","$19,068,462","$1,316,308","$175,777","$1,492,085", 246 
2013,1111 OILSEED & GRAIN FARMING,"$327,505,811","$680,665","$46,793","$104,967","$151,760", 105 
2013,1112 VEGETABLE & MELON FARMING,"$11,718,639","$970,768","$66,743","$5,593","$72,336", 42 
2013,1113 FRUIT & TREE NUT FARMING,"$7,542,372","$1,782,906","$132,574","$1,527","$134,101", 48 
2013,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$127,805,198","$54,973,923","$3,784,877","$55,784","$3,840,661", 210 
2013,1119 OTHER CROP FARMING,"$239,462,091","$4,620,246","$318,929","$44,679","$363,608", 69 
2013,1120 ANIMAL PRODUCTION,"$259,284,971","$1,961,572","$138,509","$139,209","$277,718", 89 
2013,1121 CATTLE RANCHING & FARMING,"$105,425,988","$673,935","$46,333","$50,123","$96,456", 54 
2013,1122 HOG & PIG FARMING,"$59,658,468","$541,137","$37,203",$479,"$37,682", 24 
2013,1123 POULTRY & EGG PRODUCTION,"$40,005,056","$709,846","$51,185","$170,626","$221,811", 17 
2013,1124 SHEEP & GOAT FARMING,"$26,173","$15,977","$1,099",$0,"$1,099", 11 
2013,1125 ANIMAL AQUACULTURE,"$2,322,221","$89,397","$6,145",$530,"$6,675", 9 
2013,1129 OTHER ANIMAL PRODUCTION,"$20,231,942","$2,566,251","$176,427","$3,347","$179,774", 144 
2013,1130 FORESTRY & LOGGING,"$4,609,716","$1,887,945","$129,798","$6,331","$136,129", 48 
2013,1131 TIMBER TRACT OPERATIONS,"$61,830","$31,178","$2,143",$4,"$2,147", 4 
2013,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$1,661,308","$668,803","$45,979","$2,404","$48,383", 17 
2013,1133 LOGGING,"$41,903,288","$2,113,655","$145,311","$1,026","$146,337", 46 
