YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2010,1110 CROP PRODUCTION,"$760,445,873 ","$16,630,857 ","$1,148,656 ","$312,595 ","$1,461,251 ",267
2010,1111 OILSEED & GRAIN FARMING,"$96,686,124 ","$1,433,451 ","$98,548 ","$2,733 ","$101,281 ",90
2010,1112 VEGETABLE & MELON FARMING,"$13,098,577 ","$959,738 ","$65,982 ",$469 ,"$66,451 ",29
2010,1113 FRUIT & TREE NUT FARMING,"$5,289,517 ","$838,829 ","$59,476 ",$530 ,"$60,006 ",34
2010,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$121,008,841 ","$51,060,835 ","$3,510,411 ","$75,088 ","$3,585,499 ",209
2010,1119 OTHER CROP FARMING,"$141,761,405 ","$3,634,180 ","$252,167 ","$15,814 ","$267,981 ",51
2010,1120 ANIMAL PRODUCTION,"$188,654,681 ","$1,173,148 ","$80,653 ","$53,719 ","$134,372 ",91
2010,1121 CATTLE RANCHING & FARMING,"$17,808,725 ","$112,920 ","$7,763 ",$757 ,"$8,520 ",38
2010,1122 HOG & PIG FARMING,"$221,782,536 ","$91,649 ","$6,302 ",$583 ,"$6,885 ",21
2010,1123 POULTRY & EGG PRODUCTION,"$32,790,146 ","$639,199 ","$44,738 ","$152,310 ","$197,048 ",9
2010,1124 SHEEP & GOAT FARMING,"$34,686 ","$9,686 ",$667 ,$0 ,$667 ,10
2010,1125 ANIMAL AQUACULTURE,"$2,703,972 ","$163,135 ","$11,217 ",$625 ,"$11,842 ",7
2010,1129 OTHER ANIMAL PRODUCTION,"$28,362,231 ","$1,471,331 ","$101,142 ",$847 ,"$101,989 ",106
2010,1130 FORESTRY & LOGGING,"$6,419,972 ","$2,113,342 ","$145,292 ","$8,071 ","$153,363 ",59
2010,1131 TIMBER TRACT OPERATIONS,"$44,443 ","$12,730 ",$875 ,$0 ,$875 ,4
2010,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$930,811 ","$216,773 ","$14,900 ","$4,169 ","$19,069 ",17
2010,1133 LOGGING,"$45,449,822 ","$1,491,345 ","$102,528 ",$790 ,"$103,318 ",44
2010,"1140 FISHING, HUNTING & TRAPPING","$3,517,980 ","$1,969,745 ","$135,424 ",$372 ,"$135,796 ",22
2010,1141 FISHING,"$2,568,585 ","$469,471 ","$32,666 ","$127,070 ","$159,736 ",16
2010,1142 HUNTING & TRAPPING,"$3,209,997 ","$1,701,611 ","$120,778 ","$2,099 ","$122,877 ",34
2010,1150 SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,"$485,502,214 ","$4,904,835 ","$337,207 ","$142,459 ","$479,666 ",91
2010,1151 SUPPORT ACTIVITIES FOR CROP PRODUCTION,"$532,601,386 ","$10,723,246 ","$737,408 ","$30,963 ","$768,371 ",122
2010,1152 SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,"$184,819,295 ","$3,935,234 ","$270,539 ","$19,331 ","$289,870 ",92
2010,1153 SUPPORT ACTIVITIES FOR FORESTRY,"$7,310,136 ","$3,990,813 ","$274,374 ",$6 ,"$274,380 ",23
2010,2122 METAL ORE MINING,"$151,595,383 ","$11,498,979 ","$790,554 ","$24,512,721 ","$25,303,275 ",6
2010,2123 NONMETALLIC MINERAL MINING & QUARRYING,"$264,048,220 ","$84,299,498 ","$5,795,594 ","$466,529 ","$6,262,123 ",165
2010,2131 SUPPORT ACTIVITIES FOR MINING,"$20,586,541 ","$928,444 ","$63,828 ","$86,598 ","$150,426 ",18
2010,2210 UTILITIES,"$436,100,714 ","$185,246,102 ","$12,813,951 ","$437,694 ","$13,251,645 ",96
2010,"2211 ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION","$11,782,187,394 ","$3,589,783,813 ","$246,797,643 ","$9,813,974 ","$256,611,617 ",115
2010,2212 NATURAL GAS DISTRIBUTION,"$1,658,767,923 ","$426,016,626 ","$29,288,643 ","$2,913,731 ","$32,202,374 ",54
2010,"2213 WATER, SEWAGE & OTHER SYSTEMS","$280,063,333 ","$155,810,735 ","$10,711,982 ","$604,023 ","$11,316,005 ",168
2010,2360 CONSTRUCTION OF BUILDINGS,"$1,902,431,607 ","$33,825,518 ","$2,325,516 ","$2,271,760 ","$4,597,276 ",927
2010,2361 RESIDENTIAL BUILDING CONSTRUCTION,"$541,069,604 ","$23,628,709 ","$1,624,477 ","$403,558 ","$2,028,035 ",699
2010,2362 NONRESIDENTIAL BUILDING CONSTRUCTION,"$303,132,598 ","$18,597,728 ","$1,278,593 ","$920,526 ","$2,199,119 ",188
2010,2370 HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$1,009,905,801 ","$46,620,942 ","$3,205,187 ","$5,365,003 ","$8,570,190 ",258
2010,2371 UTILITY SYSTEM CONSTRUCTION,"$72,269,466 ","$7,160,928 ","$492,311 ","$739,643 ","$1,231,954 ",84
2010,2372 LAND SUBDIVISION,"$8,867,533 ","$5,789,578 ","$411,804 ",$656 ,"$412,460 ",12
2010,"2373 HIGHWAY, STREET, & BRIDGE CONSTRUCTION","$109,980,262 ","$21,948,824 ","$1,508,982 ","$502,496 ","$2,011,478 ",53
2010,2379 OTHER HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$77,521,059 ","$4,183,957 ","$287,649 ","$132,876 ","$420,525 ",49
2010,2380 SPECIALTY TRADE CONTRACTORS,"$3,279,328,409 ","$197,841,309 ","$13,601,605 ","$10,435,499 ","$24,037,104 ","2,584"
2010,"2381 FOUNDATION, STRUCTURE, & BUILDING EXTERIOR CONTRACTORS","$189,672,621 ","$11,389,585 ","$783,032 ","$331,060 ","$1,114,092 ",296
2010,2382 BUILDING EQUIPMENT CONTRACTORS,"$899,637,429 ","$56,636,468 ","$3,893,746 ","$1,699,718 ","$5,593,464 ",963
2010,2383 BUILDING FINISHING CONTRACTORS,"$245,839,255 ","$24,247,803 ","$1,667,041 ","$1,005,903 ","$2,672,944 ",573
2010,2389 OTHER SPECIALTY TRADE CONTRACTORS,"$673,198,250 ","$71,286,403 ","$4,895,180 ","$2,388,328 ","$7,283,508 ",943
2010,3110 FOOD MANUFACTURING,"$3,625,254,862 ","$11,606,913 ","$799,003 ","$5,331,059 ","$6,130,062 ",120
2010,3111 ANIMAL FOOD MANUFACTURING,"$351,992,201 ","$3,313,669 ","$227,816 ","$43,835 ","$271,651 ",50
2010,3112 GRAIN & OILSEED MILLING,"$206,724,869 ","$353,915 ","$24,331 ","$1,467,517 ","$1,491,848 ",17
2010,3113 SUGAR & CONFECTIONERY PRODUCT MANUFACTURING,"$155,418,099 ","$13,332,827 ","$916,749 ","$768,398 ","$1,685,147 ",118
2010,3114 FRUIT & VEGETABLE PRESERVING & SPECIALTY FOOD MANUFACTURING,"$1,090,783,679 ","$578,043 ","$39,740 ","$1,317,973 ","$1,357,713 ",36
2010,3115 DAIRY PRODUCT MANUFACTURING,"$1,481,708,808 ","$333,101 ","$22,900 ","$640,654 ","$663,554 ",26
2010,3116 ANIMAL SLAUGHTERING & PROCESSING,"$595,841,845 ","$675,979 ","$46,473 ","$569,336 ","$615,809 ",34
2010,3118 BAKERIES & TORTILLA MANUFACTURING,"$350,810,226 ","$49,997,359 ","$3,437,976 ","$275,794 ","$3,713,770 ",137
