YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2009,1110 CROP PRODUCTION,"$712,061,661 ","$17,728,325 ","$1,179,991 ","$98,311 ","$1,278,302 ",301
2009,1111 OILSEED & GRAIN FARMING,"$73,958,913 ","$846,929 ","$57,172 ","$26,440 ","$83,612 ",79
2009,1112 VEGETABLE & MELON FARMING,"$16,062,110 ","$1,012,864 ","$66,978 ",$36 ,"$67,014 ",29
2009,1113 FRUIT & TREE NUT FARMING,"$5,217,158 ","$768,851 ","$53,639 ",$56 ,"$53,695 ",30
2009,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$128,274,750 ","$56,817,063 ","$3,749,003 ","$65,624 ","$3,814,627 ",198
2009,1119 OTHER CROP FARMING,"$133,680,954 ","$4,386,520 ","$296,056 ","$14,403 ","$310,459 ",59
2009,1120 ANIMAL PRODUCTION,"$193,780,429 ","$942,722 ","$63,340 ","$43,806 ","$107,146 ",98
2009,1121 CATTLE RANCHING & FARMING,"$18,517,176 ","$129,303 ","$8,655 ",$873 ,"$9,528 ",44
2009,1122 HOG & PIG FARMING,"$184,013,811 ","$82,400 ","$5,502 ","$6,251 ","$11,753 ",20
2009,1123 POULTRY & EGG PRODUCTION,"$31,354,641 ","$675,641 ","$46,857 ","$81,618 ","$128,475 ",9
2009,1124 SHEEP & GOAT FARMING,"$42,713 ","$4,260 ",$280 ,$0 ,$280 ,8
2009,1125 ANIMAL AQUACULTURE,"$2,449,863 ","$102,640 ","$6,921 ",$214 ,"$7,135 ",6
2009,1129 OTHER ANIMAL PRODUCTION,"$51,640,975 ","$1,143,460 ","$76,774 ","$1,143 ","$77,917 ",84
2009,1130 FORESTRY & LOGGING,"$6,196,242 ","$2,555,168 ","$173,272 ","$6,649 ","$179,921 ",66
2009,1131 TIMBER TRACT OPERATIONS,"$61,558 ","$30,111 ","$1,984 ",$0 ,"$1,984 ",5
2009,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$962,939 ","$81,889 ","$5,487 ","$4,166 ","$9,653 ",19
2009,1133 LOGGING,"$42,051,283 ","$1,867,271 ","$125,013 ","$1,810 ","$126,823 ",45
2009,"1140 FISHING, HUNTING & TRAPPING","$3,573,621 ","$1,952,320 ","$130,137 ",$992 ,"$131,129 ",25
2009,1141 FISHING,"$2,369,202 ","$384,037 ","$26,228 ","$67,198 ","$93,426 ",17
2009,1142 HUNTING & TRAPPING,"$2,861,965 ","$1,386,014 ","$95,708 ",$244 ,"$95,952 ",33
2009,1150 SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,"$618,874,873 ","$4,716,936 ","$315,322 ","$52,142 ","$367,464 ",91
2009,1151 SUPPORT ACTIVITIES FOR CROP PRODUCTION,"$633,655,315 ","$9,658,592 ","$645,214 ","$33,171 ","$678,385 ",119
2009,1152 SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,"$187,480,013 ","$3,634,143 ","$242,969 ","$25,269 ","$268,238 ",83
2009,1153 SUPPORT ACTIVITIES FOR FORESTRY,"$6,243,782 ","$4,635,660 ","$311,299 ","$3,685 ","$314,984 ",24
2009,2122 METAL ORE MINING,"$108,414,381 ","$34,639,167 ","$2,316,810 ","$12,855,164 ","$15,171,974 ",5
2009,2123 NONMETALLIC MINERAL MINING & QUARRYING,"$212,814,773 ","$73,380,813 ","$4,934,026 ","$370,709 ","$5,304,735 ",157
2009,2131 SUPPORT ACTIVITIES FOR MINING,"$4,449,631 ","$829,352 ","$55,439 ","$10,863 ","$66,302 ",14
2009,2210 UTILITIES,"$403,737,091 ","$181,103,652 ","$12,176,450 ","$232,665 ","$12,409,115 ",96
2009,"2211 ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION","$12,486,832,562 ","$3,477,496,604 ","$232,271,124 ","$8,167,375 ","$240,438,499 ",113
2009,2212 NATURAL GAS DISTRIBUTION,"$1,895,831,172 ","$491,169,314 ","$32,665,836 ","$2,867,855 ","$35,533,691 ",55
