YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2011,1110 CROP PRODUCTION,"$823,539,621","$16,648,118","$1,151,486","$762,734","$1,914,220", 254 
2011,1111 OILSEED & GRAIN FARMING,"$215,901,719","$1,227,703","$84,401","$85,666","$170,067", 88 
2011,1112 VEGETABLE & MELON FARMING,"$10,074,232","$981,331","$67,464",$861,"$68,325", 32 
2011,1113 FRUIT & TREE NUT FARMING,"$7,315,926","$1,563,780","$113,447","$1,351","$114,798", 40 
2011,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$122,773,948","$51,250,371","$3,526,373","$65,584","$3,591,957", 199 
2011,1119 OTHER CROP FARMING,"$182,117,499","$3,275,657","$226,540","$18,535","$245,075", 60 
2011,1120 ANIMAL PRODUCTION,"$222,126,060","$1,414,186","$97,227","$197,968","$295,195", 93 
2011,1121 CATTLE RANCHING & FARMING,"$57,994,645","$571,699","$39,303","$25,460","$64,763", 44 
2011,1122 HOG & PIG FARMING,"$102,998,002","$74,087","$5,093",$295,"$5,388", 25 
2011,1123 POULTRY & EGG PRODUCTION,"$39,159,748","$631,979","$44,347","$250,035","$294,382", 12 
2011,1124 SHEEP & GOAT FARMING,"$19,478","$9,689",$665,$0,$665, 9 
2011,1125 ANIMAL AQUACULTURE,"$1,304,422","$87,203","$5,997",$842,"$6,839", 8 
2011,1129 OTHER ANIMAL PRODUCTION,"$15,108,441","$1,582,756","$108,826","$2,215","$111,041", 114 
2011,1130 FORESTRY & LOGGING,"$5,182,810","$2,022,018","$139,016","$6,239","$145,255", 54 
2011,1131 TIMBER TRACT OPERATIONS,"$51,275","$11,061",$760,$0,$760, 4 
2011,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$3,841,359","$461,365","$31,719","$6,268","$37,987", 16 
2011,1133 LOGGING,"$46,340,260","$1,564,523","$107,561","$7,701","$115,262", 38 
2011,"1140 FISHING, HUNTING & TRAPPING","$3,657,670","$1,974,833","$135,768",$937,"$136,705", 21 
2011,1141 FISHING,"$17,363,121","$533,470","$37,060","$81,588","$118,648", 13 
2011,1142 HUNTING & TRAPPING,"$3,554,537","$1,912,908","$134,137","$5,152","$139,289", 35 
2011,1150 SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,"$653,389,353","$5,126,278","$352,435","$162,043","$514,478", 87 
2011,1151 SUPPORT ACTIVITIES FOR CROP PRODUCTION,"$707,598,497","$11,491,693","$791,675","$86,536","$878,211", 124 
2011,1152 SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION,"$276,101,526","$3,963,452","$272,487","$27,203","$299,690", 92 
2011,1153 SUPPORT ACTIVITIES FOR FORESTRY,"$4,414,704","$3,894,159","$267,724",$262,"$267,986", 20 
2011,2122 METAL ORE MINING,"$95,074,385","$35,831","$2,463","$31,575,483","$31,577,946", 8 
2011,2123 NONMETALLIC MINERAL MINING & QUARRYING,"$325,255,916","$95,588,650","$6,571,723","$646,400","$7,218,123", 173 
2011,2131 SUPPORT ACTIVITIES FOR MINING,"$31,077,232","$972,646","$66,869","$224,756","$291,625", 14 
2011,2210 UTILITIES,"$452,294,392","$190,007,955","$13,138,293","$242,784","$13,381,077", 96 
2011,"2211 ELECTRIC POWER GENERATION, TRANSMISSION & DISTRIBUTION","$8,646,189,040","$3,826,170,242","$263,049,208","$11,186,394","$274,235,602", 117 
2011,2212 NATURAL GAS DISTRIBUTION,"$1,735,373,785","$462,897,033","$31,824,161","$2,484,245","$34,308,406", 54 
2011,"2213 WATER, SEWAGE & OTHER SYSTEMS","$293,840,841","$161,405,458","$11,099,144","$606,650","$11,705,794", 170 
2011,2360 CONSTRUCTION OF BUILDINGS,"$2,112,231,854","$42,136,961","$2,896,923","$2,261,809","$5,158,732", 886 
2011,2361 RESIDENTIAL BUILDING CONSTRUCTION,"$552,242,273","$28,082,002","$1,930,419","$555,738","$2,486,157", 650 
2011,2362 NONRESIDENTIAL BUILDING CONSTRUCTION,"$414,018,939","$19,177,403","$1,319,201","$1,092,113","$2,411,314", 217 
2011,2370 HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$1,026,788,125","$48,415,335","$3,328,563","$5,874,671","$9,203,234", 246 
2011,2371 UTILITY SYSTEM CONSTRUCTION,"$99,714,364","$5,972,066","$410,574","$431,570","$842,144", 93 
2011,2372 LAND SUBDIVISION,"$11,079,875","$6,027,702","$430,805",$329,"$431,134", 15 
2011,"2373 HIGHWAY, STREET, & BRIDGE CONSTRUCTION","$121,799,755","$21,689,259","$1,491,135","$770,732","$2,261,867", 57 
2011,2379 OTHER HEAVY & CIVIL ENGINEERING CONSTRUCTION,"$92,632,679","$5,686,988","$390,983","$179,885","$570,868", 51 
2011,2380 SPECIALTY TRADE CONTRACTORS,"$3,620,751,034","$205,316,098","$14,115,486","$12,851,470","$26,966,956"," 2,453 "
2011,"2381 FOUNDATION, STRUCTURE, & BUILDING EXTERIOR CONTRACTORS","$240,808,464","$13,431,304","$923,406","$438,781","$1,362,187", 306 
2011,2382 BUILDING EQUIPMENT CONTRACTORS,"$945,362,721","$65,366,701","$4,493,974","$2,254,781","$6,748,755", 957 
2011,2383 BUILDING FINISHING CONTRACTORS,"$287,743,798","$26,552,689","$1,825,508","$1,388,098","$3,213,606", 526 
2011,2389 OTHER SPECIALTY TRADE CONTRACTORS,"$759,803,846","$81,091,932","$5,577,407","$3,434,334","$9,011,741", 875 
2011,3110 FOOD MANUFACTURING,"$4,227,065,547","$13,740,158","$945,536","$4,086,467","$5,032,003", 115 
2011,3111 ANIMAL FOOD MANUFACTURING,"$398,718,303","$3,631,249","$249,646","$44,166","$293,812", 48 
2011,3112 GRAIN & OILSEED MILLING,"$254,438,385","$407,180","$27,994","$1,964,429","$1,992,423", 18 
2011,3113 SUGAR & CONFECTIONERY PRODUCT MANUFACTURING,"$144,081,522","$13,137,824","$903,329","$736,896","$1,640,225", 121 
2011,3114 FRUIT & VEGETABLE PRESERVING & SPECIALTY FOOD MANUFACTURING,"$1,180,577,208","$500,267","$34,395","$1,153,661","$1,188,056", 37 
2011,3115 DAIRY PRODUCT MANUFACTURING,"$1,466,578,404","$508,400","$34,950","$880,680","$915,630", 25 
2011,3116 ANIMAL SLAUGHTERING & PROCESSING,"$707,105,414","$1,084,296","$74,545","$542,088","$616,633", 30 
2011,3118 BAKERIES & TORTILLA MANUFACTURING,"$433,032,347","$70,465,930","$4,847,756","$272,612","$5,120,368", 151 
2011,3119 OTHER FOOD MANUFACTURING,"$476,651,709","$4,510,730","$310,122","$1,016,793","$1,326,915", 84 
2011,3121 BEVERAGE MANUFACTURING,"$265,004,983","$9,551,974","$747,940","$469,197","$1,217,137", 88 
2011,3122 TOBACCO MANUFACTURING,"$70,369,412","$118,499","$8,147","$51,602","$59,749", 7 
2011,3130 TEXTILE MILLS,"$58,878,930","$3,950,391","$271,584","$2,291","$273,875", 42 
2011,"3131 FIBER, YARN, & THREAD MILLS","$70,212","$22,102","$1,520",$0,"$1,520", 13 
2011,3132 FABRIC MILLS,"$7,892,307","$499,984","$34,374","$76,787","$111,161", 15 
