YEAR,FOUR-DIGIT INDUSTRY,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX, NUMBER 
2016,1110 CROP PRODUCTION,"$484,791,309","$16,506,250","$1,139,151","$192,264","$1,331,415", 193 
2016,1111 OILSEED & GRAIN FARMING,"$221,296,007","$2,852,424","$197,024","$28,466","$225,490", 98 
2016,1112 VEGETABLE & MELON FARMING,"$9,678,851","$1,677,559","$115,329","$5,398","$120,727", 61 
2016,1113 FRUIT & TREE NUT FARMING,"$11,069,166","$2,963,762","$217,276",$833,"$218,109", 54 
2016,"1114 GREENHOUSE, NURSERY, & FLORICULTURE PRODUCTION","$125,149,072","$43,927,512","$3,025,401","$85,007","$3,110,408", 227 
2016,1119 OTHER CROP FARMING,"$140,702,746","$8,447,067","$583,035","$41,823","$624,858", 84 
2016,1120 ANIMAL PRODUCTION,"$341,337,041","$1,683,099","$116,754","$111,986","$228,740", 83 
2016,1121 CATTLE RANCHING & FARMING,"$94,669,178","$562,828","$38,694","$82,894","$121,588", 56 
2016,1122 HOG & PIG FARMING,"$161,908,696","$1,362,527","$93,674","$21,393","$115,067", 24 
2016,1123 POULTRY & EGG PRODUCTION,"$16,768,856","$807,850","$58,210","$21,773","$79,983", 12 
2016,1124 SHEEP & GOAT FARMING,"$54,740","$18,542","$1,277",$0,"$1,277", 13 
2016,1125 ANIMAL AQUACULTURE,"$2,064,501","$96,542","$6,636","$1,774","$8,410", 11 
2016,1129 OTHER ANIMAL PRODUCTION,"$28,435,444","$3,660,227","$251,648","$16,419","$268,067", 159 
2016,1130 FORESTRY & LOGGING,"$6,572,184","$2,461,236","$169,210","$14,146","$183,356", 43 
2016,1132 FOREST NURSERIES & GATHERING OF FOREST PRODUCTS,"$26,583,751","$890,898","$61,253","$4,184","$65,437", 18 
2016,1133 LOGGING,"$30,819,696","$1,834,146","$126,097","$1,709","$127,806", 52 
2016,"1140 FISHING, HUNTING & TRAPPING","$4,282,660","$2,545,508","$175,006",$91,"$175,097", 18 
2016,1141 FISHING,"$23,758,561","$507,363","$34,883","$8,751","$43,634", 15 
2016,1142 HUNTING & TRAPPING,"$4,280,907","$2,524,582","$176,488","$2,780","$179,268", 40 
2016,1150 SUPPORT ACTIVITIES FOR AGRICULTURE & FORESTRY,"$587,137,471","$4,221,069","$290,197","$125,219","$415,416", 64 
2016,1151 SUPPORT ACTIVITIES FOR CROP PRODUCTION,"$812,563,973","$9,821,533","$705,959","$161,117","$867,076", 139 
