NAICS,GROSS SALES,TAXABLE SALES,SALES TAX,USE TAX,TOTAL TAX,NUMBER,
1110,"$377,490,981","$23,377,440","$1,524,812","$127,861","$1,652,673",406,
1111,"$21,680,997","$375,264","$24,395",$855,"$25,250",40,
1112,"$11,230,884","$1,327,177","$86,265",$30,"$86,295",21,
1113,"$17,583,884","$584,578","$38,232",$0,"$38,232",17,
1114,"$118,038,924","$55,370,261","$3,599,063","$161,355","$3,760,418",128,
1119,"$31,245,772","$4,594,012","$298,604","$2,888","$301,492",31,
1120,"$180,163,864","$876,828","$56,993","$76,969","$133,962",152,
1121,"$17,926,493","$138,771","$9,021",$275,"$9,296",33,
1122,"$220,499,661","$207,009","$13,454",$478,"$13,932",22,
1123,"$21,074,344","$725,222","$48,364","$130,801","$179,165",9,
1125,"$2,478,791","$21,899","$1,423",$432,"$1,855",5,
1129,"$28,466,321","$191,439","$12,444",$174,"$12,618",42,
1130,"$7,666,326","$3,025,090","$196,766","$1,234","$198,000",93,
1132,"$974,204","$478,175","$31,081",$156,"$31,237",13,
1133,"$31,918,431","$3,160,967","$205,462",$625,"$206,087",40,
1140,"$4,140,970","$2,453,830","$159,500",$709,"$160,209",30,
1141,"$1,441,407","$129,637","$8,426",$156,"$8,582",7,
1142,"$2,312,294","$1,652,959","$108,274",$948,"$109,222",18,
1150,"$371,131,132","$5,394,501","$350,642","$41,289","$391,931",112,
1151,"$157,762,006","$5,251,465","$341,345","$15,709","$357,054",80,
1152,"$70,723,786","$3,759,056","$244,338","$16,198","$260,536",70,
1153,"$4,768,021","$3,897,335","$253,327",$0,"$253,327",21,
2111,"$44,208,321","$319,966","$20,799","$17,734","$38,533",11,
2122,"$143,986,419","$289,161","$18,795","$20,618,804","$20,637,599",5,
2123,"$305,828,513","$136,819,327","$8,893,262","$213,122","$9,106,384",155,
2131,"$9,037,382","$1,849,470","$120,214","$4,075","$124,289",10,
2210,"$693,111,162","$260,560,807","$16,993,901","$235,859","$17,229,760",213,
2211,"$5,592,694,742","$2,841,262,604","$184,682,076","$12,909,727","$197,591,803",116,
2212,"$2,656,842,689","$475,373,461","$30,899,277","$6,997,517","$37,896,794",45,
2213,"$126,039,157","$20,328,242","$1,321,630","$104,771","$1,426,401",88,
2360,"$3,246,557,584","$58,772,743","$3,814,257","$3,027,520","$6,841,777","1,452",
2361,"$303,380,445","$7,563,050","$479,299","$367,973","$847,272",449,
2362,"$191,546,598","$13,226,298","$859,708","$336,215","$1,195,923",88,
2370,"$1,064,816,982","$95,109,310","$6,182,132","$3,589,586","$9,771,718",307,
2371,"$22,767,969","$1,037,727","$67,451","$187,202","$254,653",26,
2372,"$22,767,524","$18,096","$1,176",$107,"$1,283",14,
2373,"$27,840,740","$4,783,494","$310,928","$104,964","$415,892",17,
2379,"$37,229,118","$2,537,534","$164,940","$27,907","$192,847",26,
