periodyear,naicstitle,indcode,ownership,areaname,ownertitle,stfips,areatype,area,indlevel,pub_order,avgemp1,avgemp2,avgemp3,avgemp4,avg_estab1,avg_estab2,avg_estab3,avg_estab4,totwage1,totwage2,totwage3,totwage4,avgwkwage1,avgwkwage2,avgwkwage3,avgwkwage4,empYear,avg_estabYear,totwageYear,avgwkwageYear,gjg_total1,gjg_total2,gjg_total3,gjg_total4,gjg_totalYear,gjg_expanding1,gjg_expanding2,gjg_expanding3,gjg_expanding4,gjg_expandingYear,gjg_openings1,gjg_openings2,gjg_openings3,gjg_openings4,gjg_openingsYear,gjl_total1,gjl_total2,gjl_total3,gjl_total4,gjl_totalYear,gjl_contracting1,gjl_contracting2,gjl_contracting3,gjl_contracting4,gjl_contractingYear,gjl_closing1,gjl_closing2,gjl_closing3,gjl_closing4,gjl_closingYear,births_estabs1,births_estabs2,births_estabs3,births_estabs4,births_estabsYear,births_employ1,births_employ2,births_employ3,births_employ4,births_employYear,deaths_estabs1,deaths_estabs2,deaths_estabs3,deaths_estabs4,deaths_estabsYear,deaths_employ1,deaths_employ2,deaths_employ3,deaths_employ4,deaths_employYear,
"2018","Total, All Industries","000000","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","0","1",35980,37243,36681,37658,2711,2735,2756,2759,402190567,397327961,388774483,422386533,859,820,815,862,36891,2740,1610679544,839,1227,3495,1877,2096,2569,1029,2691,1716,1888,2091,198,804,161,208,478,2261,1786,2409,2277,2605,1887,1610,2190,1756,2057,374,176,219,521,548,34,39,33,25,93,137,158,100,70,374,45,23,999999,999999,999999,127,108,999999,999999,999999
"2018","Crop Production","111","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","3","101111111   ",555,730,827,1167,236,239,243,244,4964682,6570821,7256493,12557530,688,692,674,827,820,241,31349526,720,56,249,214,213,172,37,157,198,155,107,19,92,16,58,65,311,72,91,238,152,220,68,67,187,106,91,4,24,51,46,5,6,6,5,16,10,13,9,17,53,8,0,999999,999999,999999,14,0,999999,999999,999999
"2018","Animal Production and Aquaculture","112","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","3","101111112   ",68,75,,,14,15,,,528696,582322,,,598,597,,,,,,,2,10,8,2,7,1,10,8,2,7,1,0,0,0,0,24,4,3,11,27,5,1,3,10,5,19,3,0,1,22,0,0,0,0,0,0,0,0,0,0,1,1,999999,999999,999999,19,3,999999,999999,999999
"2018","Food Manufacturing","311","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","3","101331311   ",902,960,1060,1067,17,17,18,18,12621452,14195982,13430592,17438075,1076,1137,974,1257,997,18,57686101,1111,12,165,237,24,58,12,165,237,14,50,0,0,0,10,8,97,160,13,222,112,88,160,13,222,105,9,0,0,0,7,0,0,0,1,1,0,0,0,8,8,1,0,999999,999999,999999,7,0,999999,999999,999999
"2018","Farm Product Raw Material Merchant Wholesalers","4245","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","4","1021424245  ",405,425,423,426,47,47,46,47,8146197,6088243,5732717,6974336,1547,1101,1042,1259,420,47,26941493,1237,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2018","Farm Supplies Merchant Wholesalers","42491","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","5","10214242491 ",167,197,176,168,22,22,22,22,2124866,2548821,2032683,2503875,978,995,888,1146,177,22,9210245,1002,4,27,5,4,4,4,27,5,1,4,0,0,0,3,0,16,2,20,22,24,13,2,20,12,15,3,0,0,10,9,0,0,0,0,0,0,0,0,0,0,2,0,999999,999999,999999,2,0,999999,999999,999999
"2017","Total, All Industries","000000","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","0","1",36166,37224,36565,37558,2643,2672,2686,2710,376520647,379321612,369997557,408554236,800,783,778,836,36878,2678,1534394052,799,1589,3403,1553,2359,2561,1298,2938,1405,2070,2031,291,465,148,289,530,2154,1844,2394,2311,2373,1887,1614,2192,1805,1807,267,230,202,506,566,37,36,31,39,112,115,113,88,160,406,32,52,32,36,114,135,151,97,115,466
"2017","Crop Production","111","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","3","101111111   ",672,765,822,1207,227,231,231,235,6454200,6913589,7279191,12626274,738,695,681,804,867,231,33273254,730,94,179,155,232,150,33,152,142,195,81,61,27,13,37,69,312,92,94,211,197,283,67,89,182,165,29,25,5,29,32,6,3,2,8,17,14,8,5,23,45,3,8,2,2,11,7,14,2,2,20
"2017","Animal Production and Aquaculture","112","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","3","101111112   ",71,84,96,97,15,15,15,15,562154,630287,819897,1995172,609,577,656,1582,87,15,4007510,856,7,26,10,2,19,7,5,10,2,19,0,21,0,0,0,12,3,2,15,6,3,3,2,14,5,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2017","Food Manufacturing","311","00","EDR  1 - Northwest              ","Total, All Ownerships                   ","27","08","R01000","3","101331311   ",932,1031,1093,1097,18,17,17,17,11764832,13789442,13855471,17146628,971,1028,975,1202,1038,17,56556373,1044,67,172,54,48,130,64,172,52,48,124,3,0,2,0,6,4,44,19,165,21,4,43,19,165,21,0,1,0,0,0,1,0,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
