periodyear,Dem_Desc,ag.emp,total.emp,ag.emp.index,total.emp.index,ag.pct.total.emp
2001,Entirely rural,2108,33017,1,1,0.06384589756791956
2001,Town/rural mix,18861,329657,1,1,0.05721401335327325
2001,Urban/town/rural mix,19341,445190,1,1,0.04344437206585952
2001,Entirely urban,21300,1771244,1,1,0.012025446522331198
2002,Entirely rural,1440,33184,0.683111954459203,1.005058000424024,0.04339440694310511
2002,Town/rural mix,18179,330925,0.963840729547744,1.0038464221903372,0.05493389740877842
2002,Urban/town/rural mix,19057,446476,0.9853161677265911,1.0028886542824411,0.0426831453426388
2002,Entirely urban,21486,1740419,1.0087323943661972,0.9825969770398658,0.012345303056332987
2003,Entirely rural,1434,33103,0.6802656546489564,1.002604718781234,0.043319336616016675
2003,Town/rural mix,15927,331086,0.8444409098139017,1.0043348086040946,0.04810532610862434
2003,Urban/town/rural mix,19319,444615,0.9988625200351585,0.9987084166311013,0.04345107564971942
2003,Entirely urban,21285,1738312,0.9992957746478873,0.9814074176115769,0.01224463732632577
2004,Entirely rural,1612,33218,0.7647058823529411,1.006087772965442,0.04852790655668614
2004,Town/rural mix,15512,334622,0.8224378346853295,1.0150611089708395,0.04635678467046399
2004,Urban/town/rural mix,18935,450018,0.9790083242851972,1.010844807834857,0.04207609473398842
2004,Entirely urban,20986,1753153,0.9852582159624413,0.9897862745053759,0.011970432700397512
2005,Entirely rural,1459,33015,0.6921252371916509,0.9999394251446224,0.04419203392397395
2005,Town/rural mix,15497,337188,0.8216425428132125,1.022844957031096,0.04595952406372706
2005,Urban/town/rural mix,19887,454776,1.0282301845819761,1.0215323794335003,0.043729220539342445
2005,Entirely urban,20623,1778065,0.9682159624413146,1.0038509657619166,0.011598563607067233
2006,Entirely rural,1204,33103,0.571157495256167,1.002604718781234,0.03637132586170438
2006,Town/rural mix,15908,339891,0.8434335401092201,1.0310443885614442,0.046803239862191114
2006,Urban/town/rural mix,19515,463399,1.0089964324492011,1.0409016375030886,0.04211273654021696
